doc_id_1,doc_id_2,distance,author_1,short_name_1,author_2,short_name_2,comparison_type,author_pair
JS-2,OC-4,16.49988575209021,Joseph Smith,JS-2,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-3,OC-4,10.561878013354724,Joseph Smith,JS-3,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-4,OC-4,11.59164770396752,Joseph Smith,JS-4,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-5,OC-4,6.98302139160614,Joseph Smith,JS-5,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-6,OC-4,15.441988482324707,Joseph Smith,JS-6,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-7,OC-4,9.869963724789306,Joseph Smith,JS-7,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-8,OC-4,11.637944498781906,Joseph Smith,JS-8,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-9,OC-4,9.713894430940934,Joseph Smith,JS-9,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-10,OC-4,16.100130239749504,Joseph Smith,JS-10,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-11,OC-4,15.852934127359793,Joseph Smith,JS-11,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-12,OC-4,13.26308581155631,Joseph Smith,JS-12,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-13,OC-4,14.528133443677374,Joseph Smith,JS-13,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
JS-14,OC-4,12.546310338638008,Joseph Smith,JS-14,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
OC-1,OC-4,8.529148147491277,Oliver Cowdery,OC-1,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-2,OC-4,5.397948366287079,Oliver Cowdery,OC-2,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-3,OC-4,6.367077301213553,Oliver Cowdery,OC-3,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-10,OC-4,14.319995019404285,Oliver Cowdery,OC-10,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-11,OC-4,7.891647934653929,Oliver Cowdery,OC-11,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-12,OC-4,14.248285801605256,Oliver Cowdery,OC-12,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-13,OC-4,13.505771142888822,Oliver Cowdery,OC-13,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-14,OC-4,10.450427014410383,Oliver Cowdery,OC-14,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-15,OC-4,18.26577951024986,Oliver Cowdery,OC-15,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
OC-16,OC-4,11.909313159648368,Oliver Cowdery,OC-16,Oliver Cowdery,OC-4,within_author,Oliver Cowdery
JS-1,OC-5,8.27058866572899,Joseph Smith,JS-1,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-2,OC-5,15.508453492084437,Joseph Smith,JS-2,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-3,OC-5,11.388722620376821,Joseph Smith,JS-3,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-4,OC-5,12.997180526012393,Joseph Smith,JS-4,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-5,OC-5,8.556343230179232,Joseph Smith,JS-5,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-6,OC-5,15.987481347483222,Joseph Smith,JS-6,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-7,OC-5,10.000904557817458,Joseph Smith,JS-7,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-8,OC-5,13.166929971714769,Joseph Smith,JS-8,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-9,OC-5,10.725682837051735,Joseph Smith,JS-9,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-10,OC-5,16.362709782999158,Joseph Smith,JS-10,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-11,OC-5,15.673694926629981,Joseph Smith,JS-11,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-12,OC-5,13.807823813808426,Joseph Smith,JS-12,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-13,OC-5,14.435039373618402,Joseph Smith,JS-13,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
JS-14,OC-5,12.24455109651065,Joseph Smith,JS-14,Oliver Cowdery,OC-5,between_author,Joseph Smith / Oliver Cowdery
OC-1,OC-5,8.790354152004344,Oliver Cowdery,OC-1,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-2,OC-5,6.4719033695496115,Oliver Cowdery,OC-2,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
