page_order,source_url,website_section_id,section_numbers,chapter,cache_path
30,https://doctrineandcovenants.com/sections/1835dc/section-32/,32,32,32,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_32.html
31,https://doctrineandcovenants.com/sections/1835dcs/section-33/,33,33,33,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_33.html
32,https://doctrineandcovenants.com/sections/1835dcs/section-34/,34,34,34,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_34.html
33,https://doctrineandcovenants.com/sections/1835dcs/section-35/,35,35,35,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_35.html
34,https://doctrineandcovenants.com/sections/1835dcs/section-36/,36,36,36,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_36.html
35,https://doctrineandcovenants.com/sections/1835dcs/section-37/,37,37,37,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_37.html
36,https://doctrineandcovenants.com/sections/1835dcs/section-38/,38,38,38,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_38.html
37,https://doctrineandcovenants.com/sections/1835dcs/section-39/,39,39,39,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_39.html
38,https://doctrineandcovenants.com/sections/1835dcs/section-40/,40,40,40,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_40.html
39,https://doctrineandcovenants.com/sections/1835dcs/section-41/,41,41,41,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_41.html
40,https://doctrineandcovenants.com/sections/1835dcs/section-42/,42,42,42,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_42.html
41,https://doctrineandcovenants.com/sections/1835dcs/section-43/,43,43,43,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_43.html
42,https://doctrineandcovenants.com/sections/1835dcs/section-44/,44,44,44,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_44.html
43,https://doctrineandcovenants.com/sections/1835dcs/section-45/,45,45,45,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_45.html
44,https://doctrineandcovenants.com/sections/1835dcs/section-46/,46,46,46,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_46.html
