page_order,source_url,website_section_id,section_numbers,chapter,cache_path,ok,file_size
69,https://doctrineandcovenants.com/sections/1835dcs/section-71/,71,71,71,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_71.html,TRUE,126778
70,https://doctrineandcovenants.com/sections/1835dcs/section-72/,72,72,72,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_72.html,TRUE,129658
71,https://doctrineandcovenants.com/sections/1835dcs/section-73/,73,73,73,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_73.html,TRUE,126342
72,https://doctrineandcovenants.com/sections/1835dcs/section-74/,74,74,74,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_74.html,TRUE,126872
73,https://doctrineandcovenants.com/sections/1835dcs/section-75/,75,75,75,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_75.html,TRUE,130286
74,https://doctrineandcovenants.com/sections/1835dcs/section-76/,76,76,76,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_76.html,TRUE,141070
75,https://doctrineandcovenants.com/sections/1835dcs/sections-77-78/,77-78,"77,78",77,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_77-78.html,TRUE,129379
76,https://doctrineandcovenants.com/sections/1835dcs/section-79/,79,79,79,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_79.html,TRUE,125879
77,https://doctrineandcovenants.com/sections/1835dcs/section-80/,80,80,80,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_80.html,TRUE,125887
78,https://doctrineandcovenants.com/sections/1835dcs/section-81/,81,81,81,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_81.html,TRUE,126452
79,https://doctrineandcovenants.com/sections/1835dcs/section-82/,82,82,82,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_82.html,TRUE,129439
80,https://doctrineandcovenants.com/sections/1835dcs/section-83/,83,83,83,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_83.html,TRUE,126242
81,https://doctrineandcovenants.com/sections/1835dcs/section-84/,84,84,84,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_84.html,TRUE,144563
82,https://doctrineandcovenants.com/sections/1835dcs/sections-85-86/,85-86,"85,86",85,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_85-86.html,TRUE,127375
83,https://doctrineandcovenants.com/sections/1835dcs/sections-87-88/,87-88,"87,88",87,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_87-88.html,TRUE,152483
