doc_id,neighbor_doc_id,similarity,rank
Isaiah_18,Ezekiel,0.5913906922389345,3
Isaiah_18,Amos,0.5829436742856912,4
Isaiah_18,Isaiah_40_55,0.5698467460178249,5
Isaiah_18,Isaiah_56_66,0.5673690187895415,6
Isaiah_18,Hosea,0.5502815353121726,7
Isaiah_18,Isaiah_36_39,0.5458655247525964,8
Isaiah_18,1 Kings,0.5419302959365632,9
Isaiah_18,2 Kings,0.5368103151108996,10
Isaiah_19,Isaiah_1_35,0.7536800160994804,1
Isaiah_19,Ezekiel,0.6805308023134395,2
Isaiah_19,Jeremiah,0.6801240986405426,3
Isaiah_19,Amos,0.6640948851277926,4
Isaiah_19,Hosea,0.6591267378420246,5
Isaiah_19,Isaiah_56_66,0.648157158241726,6
Isaiah_19,Isaiah_40_55,0.6444315010489404,7
Isaiah_19,2 Kings,0.6295333133790844,8
Isaiah_19,1 Kings,0.6259889493458214,9
Isaiah_19,Isaiah_36_39,0.6216897101584893,10
Isaiah_20,Isaiah_1_35,0.5362944269787164,1
Isaiah_20,Isaiah_36_39,0.5307575309649709,2
Isaiah_20,2 Kings,0.5190875094574752,3
Isaiah_20,Jeremiah,0.5148083512051597,4
Isaiah_20,Amos,0.5077361856093714,5
Isaiah_20,1 Kings,0.5064460437553556,6
Isaiah_20,Ezekiel,0.5004798841906886,7
Isaiah_20,2 Samuel,0.49722479920236595,8
Isaiah_20,Isaiah_56_66,0.49679751122179,9
Isaiah_20,Isaiah_40_55,0.48471027754272594,10
Isaiah_21,Isaiah_1_35,0.6332825420547666,1
Isaiah_21,Jeremiah,0.6085242508930143,2
Isaiah_21,Job,0.603828541378276,3
Isaiah_21,2 Kings,0.5986970419983388,4
Isaiah_21,Amos,0.5978961685405297,5
Isaiah_21,Psalms,0.5976210242714443,6
Isaiah_21,Isaiah_40_55,0.5942558553347491,7
Isaiah_21,1 Kings,0.5901882019207867,8
Isaiah_21,Ezekiel,0.5848396500087686,9
Isaiah_21,2 Samuel,0.5836768374248001,10
Isaiah_22,Isaiah_1_35,0.7430851225731661,1
Isaiah_22,Ezekiel,0.698756641026666,2
Isaiah_22,Jeremiah,0.6975252469020768,3
Isaiah_22,Isaiah_56_66,0.6896399004066511,4
Isaiah_22,Isaiah_40_55,0.6855134991955409,5
Isaiah_22,Amos,0.681382686136528,6
Isaiah_22,1 Kings,0.6650889843867523,7
Isaiah_22,Hosea,0.6644548781373731,8
Isaiah_22,Isaiah_36_39,0.6604398158507336,9
Isaiah_22,2 Kings,0.6570427714494826,10
Isaiah_23,Isaiah_1_35,0.6602095937834459,1
Isaiah_23,Jeremiah,0.6123693153805693,2
Isaiah_23,Isaiah_40_55,0.6068793754179646,3
Isaiah_23,Isaiah_56_66,0.6052872629486505,4
Isaiah_23,Ezekiel,0.5993927010769793,5
Isaiah_23,Hosea,0.5975877411650569,6
Isaiah_23,Amos,0.5943580678280529,7
Isaiah_23,Psalms,0.582851600823844,8
Isaiah_23,Isaiah_36_39,0.579855494939881,9
Isaiah_23,2 Kings,0.5730001302167467,10
Isaiah_24,Isaiah_1_35,0.7342758462805327,1
Isaiah_24,Jeremiah,0.6553072269223539,2
Isaiah_24,Ezekiel,0.6509088745794362,3
Isaiah_24,Isaiah_40_55,0.6478572295783729,4
Isaiah_24,Isaiah_56_66,0.6433321873680509,5
Isaiah_24,Amos,0.6423899081462032,6
Isaiah_24,Hosea,0.6360159634172492,7
Isaiah_24,Psalms,0.6296991725438551,8
Isaiah_24,Proverbs,0.6276651602366081,9
Isaiah_24,Job,0.6263863959888437,10
Isaiah_25,Isaiah_1_35,0.6903061127414416,1
Isaiah_25,Isaiah_56_66,0.6402665608221758,2
Isaiah_25,Ezekiel,0.6344533629256223,3
Isaiah_25,Isaiah_40_55,0.6296762773224523,4
Isaiah_25,Jeremiah,0.6287526697886262,5
