doc_id,book,chapter,section,macro_genre,n_verses,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Isaiah_32,Isaiah,32,Isaiah_1_35,Prophetic,20,0.07833916674516789,-0.6851326372924833,-0.7041088666740342,0.860735771244604,-0.22162435029897753,-0.3198317499484896,-0.1274041896432354,-0.13167648819900665,-0.1309404599014188,-0.5061092036867578,-0.23955726776961322,0.03106750520676953,-0.0024756625521633116,0.060428725431406934,0.03203215927830945
Isaiah_33,Isaiah,33,Isaiah_1_35,Prophetic,24,-1.106467663953672,-1.3208268548347237,-0.44105779536281847,0.5265870600441522,-0.2529772463792773,-0.12933602187794607,-0.29721041817217086,-0.07674987311142387,-0.021594527527006562,-0.5017163352496263,-0.1525114673470216,0.1296627566479638,-0.07587215247265564,0.06758052647107163,-0.004375104460348007
Isaiah_34,Isaiah,34,Isaiah_1_35,Prophetic,17,-1.3490820909468475,-0.1420155200854217,-1.3517123853651918,0.7126447915674637,-0.43466005063350044,-0.50104062670751,-0.41646172331383496,0.07608899664674813,-0.27496027887090874,-0.47628425476663994,-0.22917111182383382,0.10787493849521848,-0.11376843759424629,0.009232432214202006,0.03372693394600405
Isaiah_35,Isaiah,35,Isaiah_1_35,Prophetic,10,0.718902668147195,0.29750302147292107,-1.5162893517328302,0.9920405431861377,-0.48538777333705957,-0.2972699020632361,-0.18329914882858833,-0.19389810983113628,-0.10148300324333973,-0.47568461718292077,-0.14157696139211545,0.09035699965019967,0.02363450015736218,0.05577308296971256,0.020288772381475688
Isaiah_36,Isaiah,36,Isaiah_36_39,Prophetic,22,-2.7803097132072194,1.2337062522535653,0.2306809504066074,-0.28572039478951305,1.373427120510588,1.2445102271992,-1.614920477633832,-0.4178541912363066,1.2531858859970166,-0.061905205631223,-0.40460010523324713,0.03427785509199358,0.3630120098154272,-0.013950888979232686,-0.00869153885730315
Isaiah_37,Isaiah,37,Isaiah_36_39,Prophetic,38,-6.3440105267582325,0.9146465999388251,0.04958920282084646,-0.33106997923976217,1.4577825805491216,1.1173217786680176,-1.4874995345416382,-0.4873306394662179,1.0819084443519311,-0.0696704089853445,-0.3841527757762181,0.15466112857647096,0.42179939312222076,-0.04023970086449546,0.04359276882213772
Isaiah_38,Isaiah,38,Isaiah_36_39,Prophetic,22,-3.0840449855963237,0.22695179704795698,-0.5899714668369809,-0.6238542467376256,1.0745105467700793,0.9915735553459911,-1.2466242458981573,-0.44437670902881155,0.9770721558991281,0.06272029515296189,-0.29748651953790917,0.1347649087011503,0.363343755089076,-0.016999006333494306,0.1394159806554397
Isaiah_39,Isaiah,39,Isaiah_36_39,Prophetic,8,0.40674704928215155,1.209807954037783,0.0825066421290406,0.030509881564164842,0.7636039314852463,0.8515351022514122,-1.1269030027225624,-0.420235662791698,0.807339862885494,-0.041026305769851765,-0.27664919879631616,0.03712134512567011,0.19853308087838065,-0.053701324846538126,0.050484079964567066
Isaiah_40,Isaiah,40,Isaiah_40_55,Prophetic,31,-3.9598662979633845,-1.6242117126650049,-0.0312877116066895,0.19212994033125452,-0.4602624075819639,0.11761313675962262,-0.023589976255731337,-0.4659545060662923,-0.05205064235194927,-0.2573956847203409,0.5670639942671943,0.49058868224047725,-0.09149981163051754,-0.06109119418732549,-0.08960032736259468
Isaiah_41,Isaiah,41,Isaiah_40_55,Prophetic,29,-4.134470110730107,-1.301270590514163,-0.37691760829613824,-0.5520658234311573,-0.4186386425933776,-0.059878578905410346,-0.06206101743920234,-0.5354693177901033,0.04048621191441233,-0.033733860395307735,0.7999624926101319,0.6869532813152878,-0.10320797111141135,-0.03605498779523879,-0.10566160228773842
Isaiah_42,Isaiah,42,Isaiah_40_55,Prophetic,25,-3.5427142873314685,-1.5791086654739381,-0.2431465648228815,-0.4411646440636318,-0.4104582457142304,-0.07810922256289718,-0.07610206467346109,-0.2975793845907492,0.04914233941744686,-0.09794329785182103,0.6612831764171356,0.48415503004561866,-0.05881312090665715,-0.08234401361541373,-0.07100546341101775
Isaiah_43,Isaiah,43,Isaiah_40_55,Prophetic,28,-3.151278566267022,-1.6468277039329242,-0.65242063104358194,-1.0063286175432484,-0.23929044481568096,-0.04627409304599445,-0.03360467623108121,-0.6006625270044277,0.05967537681465983,0.09045400889443947,0.7453791008496251,0.6366560574794234,-0.11186585465327825,-0.017983777615242558,-0.05179393320234546
Isaiah_44,Isaiah,44,Isaiah_40_55,Prophetic,28,-3.9420008135130735,-1.2242335431517515,-0.588301053598607,-0.30149691523159616,-0.5159525450972428,0.14443523631794403,-0.10116134066396978,-0.6847343332233864,0.003403882210645956,-0.058800259197893875,0.7867671593477696,0.7253263639704975,-0.11541357089526039,-0.03082627139559949,-0.037032447624435375
Isaiah_45,Isaiah,45,Isaiah_40_55,Prophetic,25,-3.660341366626551,-1.2700739526776612,-0.7215541271026267,-0.5941464363943041,-0.35670026440907976,0.10605320112240654,-0.04322606935594897,-0.601362845489725,0.08630438045254137,-0.11508673389980681,0.7723173880353934,0.6630386297248659,-0.0958909597103827,-0.01411192781183012,-0.06401306039253096
Isaiah_46,Isaiah,46,Isaiah_40_55,Prophetic,13,0.6045205501251711,-0.029117732840373833,-0.9553079348968009,-0.42993112429847247,-0.6124127028781129,0.18519439167732799,-0.02379909849447369,-0.27095281696666895,0.0770863543024253,0.023756286443914837,0.6098455199166414,0.43169839295090956,-0.026456135027129263,0.002554116447339865,-0.061609671692166745
Isaiah_47,Isaiah,47,Isaiah_40_55,Prophetic,15,0.27997063009557166,-0.5282314890814516,-1.289861219097635,-0.29915312813600936,-0.34834309046521306,-0.2391952090673458,-0.5249150523499337,-0.6261464226319037,-0.07929107085772946,0.03347033985418221,0.411060243588077,0.4442313042197434,-0.1463618400831359,0.018681196537373858,-0.017125630421919315
Isaiah_48,Isaiah,48,Isaiah_40_55,Prophetic,22,-2.4955532171763246,-0.521246501331023,-0.5983463602797414,-0.796893493166882,-0.21621788810903653,0.1515359963286867,-0.13704377809549845,-0.5302519509870521,0.07239864409421568,0.045469855316457156,0.7546720134771561,0.6180219299775402,-0.11435712615987867,-0.05425505305561219,-0.07399255022882403
Isaiah_49,Isaiah,49,Isaiah_40_55,Prophetic,26,-5.03626099484713,-1.609974305930081,-0.691174785725382,-0.579843658444034,-0.2842048866663186,-0.1196546171824904,-0.005337766878500849,-0.599150850027574,-0.017986590885034487,-0.01783787194696472,0.5330364975859128,0.4978174477737072,-0.07146256273156755,-0.009891706453058889,-0.05282623221674238
Isaiah_50,Isaiah,50,Isaiah_40_55,Prophetic,11,0.8036760291274804,-1.0046421333610869,-0.21084890536512613,-0.3547984369557241,-0.4542244011373173,0.33943013334826533,0.0861794005134835,-0.3411040519661182,0.20474881746232565,-0.05678266454692855,0.5361088850991044,0.3069615860880294,0.029151611630760327,-0.06349632005943619,-0.07708481684481797
Isaiah_51,Isaiah,51,Isaiah_40_55,Prophetic,23,-4.703422302196709,-1.3524193977393746,-0.6962124863277385,-0.16364650253277646,-0.12383254878171712,-0.16380112481469994,-0.13578946991798296,-0.6332821228075791,-0.0840209443528947,-0.16611605922090536,0.4507274794187607,0.465273816646477,-0.09777141493366395,-0.004025041624603508,-0.033113157247149846
Isaiah_52,Isaiah,52,Isaiah_40_55,Prophetic,15,-0.09555321648250019,-0.3809742133028192,-1.4003370488372973,-0.04561074549478636,-0.17101973663784664,-0.2657942666829896,-0.1920473194849317,-0.5318248852642457,0.0029739969614481195,-0.19576860177217154,0.49223159932579996,0.3021578513711166,-0.12858313996370463,-0.0036376020101720357,-0.08692507960011032
Isaiah_53,Isaiah,53,Isaiah_40_55,Prophetic,12,0.5473114676318847,0.18014059989664843,-0.18139658859654778,0.09750042308656287,-0.5739943736294026,-0.04411685071488258,-0.42521194169368415,-0.24906126561404018,-0.16046405940296993,-0.07939455415571385,0.4004054242499132,0.2935269401039268,0.009076982765493343,-0.08543281518032408,-0.006438323069877709
Isaiah_54,Isaiah,54,Isaiah_40_55,Prophetic,17,-1.5313926641193982,-0.9547143282854587,-1.118045165154965,-0.2039944957492353,-0.12888751479586558,-0.24014333504321844,-0.23909830500267532,-0.7706702400725624,-0.0075330789624424785,-0.004057821654677933,0.5255145444811223,0.39511921076839895,-0.07575202897520451,0.03010225149011572,-0.023703550013011342
Isaiah_55,Isaiah,55,Isaiah_40_55,Prophetic,13,-1.0030372974410837,-0.6549255366140795,-0.7852319720024761,-0.05730519746423372,-0.5689956755488166,-0.06254933888459792,0.005200434526297646,-0.6090835872645409,0.028890564265604917,-0.16854333216906128,0.5258317778009053,0.23571516682764923,0.002196677026681505,-0.04287721187151148,-6.254592956638245e-4
Isaiah_56,Isaiah,56,Isaiah_56_66,Prophetic,12,-0.07297823755724812,0.011631678249501148,-1.1862452004651791,-0.061673548315211935,-0.25388150378099295,-0.4533762243377867,-0.3982906375916128,-0.6181951905227636,-0.1329756935981607,0.07896413035179603,0.2279608061042248,-0.6727994770113904,0.0747038423811822,-0.07976712656198778,-0.07920692159056349
Isaiah_57,Isaiah,57,Isaiah_56_66,Prophetic,21,-2.591148018837314,-1.3980556693296495,-0.021250711726302107,-0.4126730541821488,-0.12781581405595033,-0.3111793705649068,-0.38070221157779793,-0.6000790568739591,-0.19710860514628473,0.10765351918680989,0.14703860827645437,-0.7032177826256034,0.22907902477089762,-0.056028074555523506,-0.09634975760551867
Isaiah_58,Isaiah,58,Isaiah_56_66,Prophetic,14,-2.0966592123222685,-1.1156244270955409,-0.28187238858940783,-0.09547995737911608,-0.2623860994773157,-0.31886106752717563,-0.3410489700361525,-0.8501470764624949,-0.24236503017324557,-0.05639169885306562,0.12084350879011911,-0.7499357779879148,0.2379616363962458,-0.07389053953459696,-0.08737362003911103
Isaiah_59,Isaiah,59,Isaiah_56_66,Prophetic,21,-0.5868121091910136,-0.6290127134570048,-0.6789432221161502,-0.07227584428658994,-0.4512113999842939,-0.5594023876444538,-0.5267419536059865,-0.511888919191931,-0.3499508585893264,-0.019740681256131647,0.24248052754217136,-0.908087304865136,0.16308768364227513,-0.18011064698305632,-0.09292700618410278
Isaiah_60,Isaiah,60,Isaiah_56_66,Prophetic,22,-1.955569611753204,-0.8961958416240823,-1.555683810805447,-0.004513019980659089,-0.22679656070886722,-0.860506606022399,-0.4940672497328108,-0.8499048055302391,-0.37266234963359157,-0.11120510995008431,0.10874052741734311,-0.6522207392737102,0.216350317160984,0.006497257631523179,-0.05562551835177168
Isaiah_61,Isaiah,61,Isaiah_56_66,Prophetic,11,-1.2379782996532744,-0.38469867901476856,-1.9226092709071696,0.27981105874276874,-0.24584608941934483,-0.6176148405597366,-0.31322243027202945,-0.48743125056199627,-0.20578741100978734,-0.06762689306739553,0.15049092479373752,-0.6128045525032765,0.17203343827810472,-0.11097034591003625,-0.09563905787058088
Isaiah_62,Isaiah,62,Isaiah_56_66,Prophetic,12,-1.2027020725824056,-0.29372230898761276,-1.3860345961472975,0.0936901106323964,-0.03852569045999805,-0.6124809698453774,-0.39437094165922176,-0.8314132712263691,-0.2787035864249478,-0.0761336932823309,0.19511551359764803,-0.5397312728521577,0.18340817704952822,-0.04027581268953592,-0.05156686637041321
Isaiah_63,Isaiah,63,Isaiah_56_66,Prophetic,19,-2.476984800605728,-1.183297194872318,0.4113025061640699,-0.7045538274220496,0.14825095158318646,-0.547818925200765,-0.2832363707102355,-0.3703411009160798,-0.297852868841241,0.08967856308915793,0.12360551282359172,-0.7177151643888929,0.2098887830030511,-0.1081200448871256,-0.1209876850348696
Isaiah_64,Isaiah,64,Isaiah_56_66,Prophetic,12,3.8061742577233395,0.14215628219287507,-0.8996387465345597,-0.3769276349959554,-0.16376434152918062,-0.48549486422263866,-0.5482166051847357,-0.8982748350742519,-0.3039129666533568,0.02219174901211142,0.24854340227065846,-0.6858600726735965,0.08740908758827111,-0.07774998766252526,-0.044086105823145566
Isaiah_65,Isaiah,65,Isaiah_56_66,Prophetic,25,-3.0048770673789496,-1.06332708576076,-1.6094258112316189,-0.09651295346928385,-0.48490448722604457,-0.5155294196956336,-0.3503965063301405,-0.6470947755049423,-0.23365652976202783,-0.05560750206190787,0.25151468338219474,-0.8400590042803419,0.19365598037579293,-0.06086349216920443,-0.06910280470651178
Isaiah_66,Isaiah,66,Isaiah_56_66,Prophetic,24,-4.156136965774067,-1.2331054867333298,-1.0390819538162603,0.0032745224272546225,-0.4768796480745324,-0.49536018400698634,-0.16218725154957947,-0.635701236765594,-0.16307214707255502,-0.0714693074457099,0.26239481604236514,-0.9190332346873534,0.20240332744857936,-0.12404929168040708,-0.09770598986272673
