feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char3,Isaiah_43,Prophetic,0.8736191621303749,1
char,char3,Isaiah_43,Poetic/Wisdom,0.8723134006715029,2
char,char3,Isaiah_43,Narrative,0.808114470678569,3
char,char3,Isaiah_44,Poetic/Wisdom,0.8861972056508431,1
char,char3,Isaiah_44,Prophetic,0.8841794416622892,2
char,char3,Isaiah_44,Narrative,0.8378385351926639,3
char,char3,Isaiah_45,Prophetic,0.8928754810015991,1
char,char3,Isaiah_45,Poetic/Wisdom,0.884094348745023,2
char,char3,Isaiah_45,Narrative,0.8346105450573209,3
char,char3,Isaiah_46,Prophetic,0.760255854832094,1
char,char3,Isaiah_46,Poetic/Wisdom,0.7556370577699528,2
char,char3,Isaiah_46,Narrative,0.7223507675261166,3
char,char3,Isaiah_47,Prophetic,0.82684935703297,1
char,char3,Isaiah_47,Poetic/Wisdom,0.8143199271372278,2
char,char3,Isaiah_47,Narrative,0.7476420318919647,3
char,char3,Isaiah_48,Poetic/Wisdom,0.8677971646960472,1
char,char3,Isaiah_48,Prophetic,0.8673886273875496,2
char,char3,Isaiah_48,Narrative,0.8235387867801858,3
char,char3,Isaiah_49,Prophetic,0.9266124102204564,1
char,char3,Isaiah_49,Poetic/Wisdom,0.9068765636884905,2
char,char3,Isaiah_49,Narrative,0.8634840135687061,3
char,char3,Isaiah_50,Poetic/Wisdom,0.8020781600508917,1
char,char3,Isaiah_50,Prophetic,0.7859959433092278,2
char,char3,Isaiah_50,Narrative,0.7296363033494696,3
char,char3,Isaiah_51,Prophetic,0.9101283739190452,1
char,char3,Isaiah_51,Poetic/Wisdom,0.8987589083870848,2
char,char3,Isaiah_51,Narrative,0.855090002939426,3
char,char3,Isaiah_52,Prophetic,0.8368461600269721,1
char,char3,Isaiah_52,Poetic/Wisdom,0.8213827692932948,2
char,char3,Isaiah_52,Narrative,0.7621164451791769,3
char,char3,Isaiah_53,Poetic/Wisdom,0.7268246465640015,1
char,char3,Isaiah_53,Narrative,0.6982247152813233,2
char,char3,Isaiah_53,Prophetic,0.6958530294027183,3
char,char3,Isaiah_54,Prophetic,0.862587168064921,1
char,char3,Isaiah_54,Poetic/Wisdom,0.8590688707913948,2
char,char3,Isaiah_54,Narrative,0.7846137722094144,3
char,char3,Isaiah_55,Prophetic,0.8306064242375378,1
char,char3,Isaiah_55,Poetic/Wisdom,0.8263997826209851,2
char,char3,Isaiah_55,Narrative,0.7872136421960105,3
char,char3,Isaiah_56,Prophetic,0.8074539648497626,1
char,char3,Isaiah_56,Poetic/Wisdom,0.7989689139002301,2
char,char3,Isaiah_56,Narrative,0.7694095977705754,3
char,char3,Isaiah_57,Poetic/Wisdom,0.8749924302353925,1
char,char3,Isaiah_57,Prophetic,0.8604497438347533,2
char,char3,Isaiah_57,Narrative,0.8269989885166147,3
char,char3,Isaiah_58,Prophetic,0.8597588819712909,1
char,char3,Isaiah_58,Poetic/Wisdom,0.852729474597812,2
char,char3,Isaiah_58,Narrative,0.8132970305752261,3
char,char3,Isaiah_59,Poetic/Wisdom,0.8339470971533144,1
char,char3,Isaiah_59,Prophetic,0.8197226131895651,2
char,char3,Isaiah_59,Narrative,0.7781233602430014,3
char,char3,Isaiah_60,Prophetic,0.8763373650288102,1
char,char3,Isaiah_60,Poetic/Wisdom,0.8385911902562853,2
char,char3,Isaiah_60,Narrative,0.7930986400164802,3
char,char3,Isaiah_61,Prophetic,0.8688906969463548,1
char,char3,Isaiah_61,Poetic/Wisdom,0.840584182382625,2
char,char3,Isaiah_61,Narrative,0.7895889781970874,3
char,char3,Isaiah_62,Prophetic,0.8613653721520338,1
