pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC204,204,7.699006046571128e-8,1.0224443620944396e-10,1.0224443620944395e-8,0.9999999990165216,99.99999990165216
PC205,205,6.579091001921608e-8,8.737172645314222e-11,8.737172645314222e-9,0.9999999991038934,99.99999991038933
PC206,206,6.104208607880745e-8,8.1065187355654e-11,8.1065187355654e-9,0.9999999991849585,99.99999991849585
PC207,207,5.497633971776959e-8,7.300974730115484e-11,7.300974730115484e-9,0.9999999992579683,99.99999992579683
PC208,208,5.0663883434866724e-8,6.728271372492261e-11,6.728271372492261e-9,0.999999999325251,99.9999999325251
PC209,209,4.7428624435045585e-8,6.298622102927701e-11,6.298622102927701e-9,0.9999999993882372,99.99999993882372
PC210,210,4.006865327107855e-8,5.321202293635931e-11,5.3212022936359305e-9,0.9999999994414492,99.99999994414492
PC211,211,3.949383466015028e-8,5.244865160710529e-11,5.244865160710529e-9,0.999999999493898,99.99999994938979
PC212,212,3.76440643921273e-8,4.999211738662325e-11,4.999211738662325e-9,0.9999999995438901,99.99999995438901
PC213,213,3.2528721676998e-8,4.3198833568390445e-11,4.319883356839044e-9,0.9999999995870889,99.99999995870888
PC214,214,3.065407605639637e-8,4.0709264351124e-11,4.0709264351124e-9,0.9999999996277981,99.99999996277981
PC215,215,2.8738865866375418e-8,3.816582452373894e-11,3.816582452373894e-9,0.999999999665964,99.99999996659639
PC216,216,2.433335575667864e-8,3.231521348828505e-11,3.231521348828505e-9,0.9999999996982791,99.99999996982791
PC217,217,2.0461879335184122e-8,2.717381053809313e-11,2.717381053809313e-9,0.999999999725453,99.9999999725453
PC218,218,1.923950469080352e-8,2.5550471036923668e-11,2.555047103692367e-9,0.9999999997510034,99.99999997510034
PC219,219,1.8275973356171262e-8,2.4270880951090657e-11,2.427088095109066e-9,0.9999999997752743,99.99999997752744
PC220,220,1.638789948079682e-8,2.17634787261578e-11,2.17634787261578e-9,0.9999999997970378,99.99999997970377
PC221,221,1.5885098709688134e-8,2.109574861844374e-11,2.109574861844374e-9,0.9999999998181336,99.99999998181336
PC222,222,1.5033494918990856e-8,1.9964800689230887e-11,1.996480068923089e-9,0.9999999998380984,99.99999998380984
PC223,223,1.2875707621426024e-8,1.70992133086667e-11,1.7099213308666702e-9,0.9999999998551976,99.99999998551976
PC224,224,1.2319855012346672e-8,1.636102923286411e-11,1.6361029232864109e-9,0.9999999998715586,99.99999998715586
PC225,225,1.080615180445737e-8,1.4350799209106735e-11,1.4350799209106736e-9,0.9999999998859094,99.99999998859094
PC226,226,9.487146315874428e-9,1.259913189359154e-11,1.259913189359154e-9,0.9999999998985085,99.99999998985085
PC227,227,9.167917344178651e-9,1.2175189036093827e-11,1.2175189036093828e-9,0.9999999999106837,99.99999999106836
PC228,228,8.339959094850576e-9,1.1075642888247779e-11,1.107564288824778e-9,0.9999999999217594,99.99999999217593
PC229,229,6.75769894145862e-9,8.974367784141594e-12,8.974367784141594e-10,0.9999999999307337,99.99999999307337
PC230,230,6.1576041951143115e-9,8.177429209979167e-12,8.177429209979167e-10,0.9999999999389112,99.99999999389112
PC231,231,5.156500827272153e-9,6.847942665700071e-12,6.847942665700072e-10,0.999999999945759,99.9999999945759
PC232,232,4.8142463313829934e-9,6.3934214228193815e-12,6.393421422819382e-10,0.9999999999521525,99.99999999521525
PC233,233,4.636278408101654e-9,6.157076239178824e-12,6.157076239178824e-10,0.9999999999583096,99.99999999583096
PC234,234,3.813772912364387e-9,5.06477146396333e-12,5.064771463963331e-10,0.9999999999633744,99.99999999633744
PC235,235,3.4021485480420993e-9,4.518125561808897e-12,4.5181255618088973e-10,0.9999999999678925,99.99999999678924
PC236,236,3.1056360933768865e-9,4.124350721616052e-12,4.1243507216160516e-10,0.9999999999720168,99.99999999720168
PC237,237,2.626664853987218e-9,3.48826673836284e-12,3.48826673836284e-10,0.9999999999755051,99.99999999755052
PC238,238,2.3089336535757737e-9,3.066312952955875e-12,3.0663129529558755e-10,0.9999999999785714,99.99999999785713
PC239,239,1.9355732803951002e-9,2.5704824440837986e-12,2.570482444083799e-10,0.9999999999811419,99.99999999811419
PC240,240,1.6023434531808032e-9,2.1279461529625545e-12,2.1279461529625544e-10,0.9999999999832698,99.99999999832698
PC241,241,1.5284504020104016e-9,2.0298146109035883e-12,2.0298146109035882e-10,0.9999999999852996,99.99999999852996
PC242,242,1.421957252991486e-9,1.888389446203833e-12,1.888389446203833e-10,0.999999999987188,99.9999999987188
PC243,243,1.1356845633635467e-9,1.5082132315584953e-12,1.5082132315584954e-10,0.9999999999886963,99.99999999886963
PC244,244,9.944742948200814e-10,1.3206829944489794e-12,1.3206829944489795e-10,0.999999999990017,99.9999999990017
PC245,245,9.447521553905203e-10,1.2546509367735996e-12,1.2546509367735997e-10,0.9999999999912716,99.99999999912717
PC246,246,7.69701676572979e-10,1.0221801813718182e-12,1.0221801813718182e-10,0.9999999999922938,99.99999999922939
PC247,247,7.388217815186986e-10,9.811710245932254e-13,9.811710245932255e-11,0.9999999999932749,99.9999999993275
PC248,248,6.881770984046729e-10,9.139138093023545e-13,9.139138093023547e-11,0.9999999999941889,99.99999999941889
PC249,249,6.247611573434056e-10,8.296960920895162e-13,8.296960920895161e-11,0.9999999999950185,99.99999999950185
PC250,250,5.07124388414348e-10,6.734719633656681e-13,6.734719633656682e-11,0.999999999995692,99.9999999995692
PC251,251,4.180133196451767e-10,5.55130570577924e-13,5.55130570577924e-11,0.9999999999962471,99.9999999996247
PC252,252,3.998755697806629e-10,5.310432533607742e-13,5.3104325336077413e-11,0.9999999999967782,99.99999999967783
PC253,253,3.1946935436490004e-10,4.2426209079003995e-13,4.2426209079004e-11,0.9999999999972025,99.99999999972025
PC254,254,2.7923815306334634e-10,3.708342006153338e-13,3.7083420061533384e-11,0.9999999999975733,99.99999999975732
PC255,255,2.6000366298893174e-10,3.4529038909552695e-13,3.452903890955269e-11,0.9999999999979186,99.99999999979185
PC256,256,2.4258335281998215e-10,3.2215584703848897e-13,3.22155847038489e-11,0.9999999999982407,99.99999999982407
PC257,257,2.1599742123677387e-10,2.868491649890756e-13,2.8684916498907555e-11,0.9999999999985276,99.99999999985276
PC258,258,1.9813161996541113e-10,2.6312300128208654e-13,2.6312300128208653e-11,0.9999999999987907,99.99999999987908
PC259,259,1.1507660421300296e-10,1.5282417558167726e-13,1.5282417558167726e-11,0.9999999999989435,99.99999999989436
PC260,260,9.552364587245672e-11,1.2685743143752555e-13,1.2685743143752554e-11,0.9999999999990704,99.99999999990705
PC261,261,8.726579946737478e-11,1.1589083594604886e-13,1.1589083594604885e-11,0.9999999999991863,99.99999999991863
PC262,262,8.40821094134235e-11,1.1166282790627293e-13,1.1166282790627294e-11,0.999999999999298,99.9999999999298
