pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC88,88,3.758486481283335e-17,6.998800793577736e-19,6.998800793577735e-17,0.9999999999999999,99.99999999999999
PC89,89,3.670735649691328e-17,6.835397095615374e-19,6.835397095615374e-17,0.9999999999999999,99.99999999999999
PC90,90,3.5537686632777785e-17,6.617589038725935e-19,6.617589038725935e-17,0.9999999999999999,99.99999999999999
PC91,91,3.5490549343670085e-17,6.608811449713524e-19,6.608811449713524e-17,0.9999999999999999,99.99999999999999
PC92,92,3.484672490882723e-17,6.488922792725077e-19,6.488922792725077e-17,0.9999999999999999,99.99999999999999
PC93,93,3.444817764839003e-17,6.414708001837398e-19,6.414708001837398e-17,0.9999999999999999,99.99999999999999
PC94,94,3.391411078928309e-17,6.31525766255974e-19,6.31525766255974e-17,0.9999999999999999,99.99999999999999
PC95,95,3.3497766490081716e-17,6.237728826786006e-19,6.237728826786006e-17,0.9999999999999999,99.99999999999999
PC96,96,3.2935129752570117e-17,6.132958396864235e-19,6.132958396864236e-17,0.9999999999999999,99.99999999999999
PC97,97,3.24252763909137e-17,6.038016932263016e-19,6.038016932263016e-17,0.9999999999999999,99.99999999999999
PC98,98,3.2408917770572194e-17,6.034970739983275e-19,6.034970739983275e-17,0.9999999999999999,99.99999999999999
PC99,99,3.2215558310052046e-17,5.998964641452037e-19,5.998964641452036e-17,0.9999999999999999,99.99999999999999
PC100,100,3.1604244998591413e-17,5.885129987245313e-19,5.885129987245313e-17,0.9999999999999999,99.99999999999999
PC101,101,3.153627273417447e-17,5.872472649231419e-19,5.872472649231419e-17,0.9999999999999999,99.99999999999999
PC102,102,3.0093706438776274e-17,5.603847653949434e-19,5.603847653949434e-17,0.9999999999999999,99.99999999999999
PC103,103,2.978434727742948e-17,5.546240871146926e-19,5.546240871146927e-17,0.9999999999999999,99.99999999999999
PC104,104,2.971421041119859e-17,5.5331804555386685e-19,5.5331804555386684e-17,0.9999999999999999,99.99999999999999
PC105,105,2.962608906737783e-17,5.516771091446629e-19,5.516771091446629e-17,0.9999999999999999,99.99999999999999
PC106,106,2.8381354308676465e-17,5.284984954649928e-19,5.284984954649928e-17,0.9999999999999999,99.99999999999999
PC107,107,2.810307257472948e-17,5.2331652014039e-19,5.2331652014039005e-17,0.9999999999999999,99.99999999999999
PC108,108,2.7542576609825274e-17,5.128793411761883e-19,5.128793411761883e-17,0.9999999999999999,99.99999999999999
PC109,109,2.7392082406005024e-17,5.100769393094498e-19,5.1007693930944974e-17,0.9999999999999999,99.99999999999999
PC110,110,2.686765121872425e-17,5.003113343831169e-19,5.003113343831169e-17,0.9999999999999999,99.99999999999999
PC111,111,2.6743852836633496e-17,4.980060441575563e-19,4.980060441575563e-17,0.9999999999999999,99.99999999999999
PC112,112,2.672828812006092e-17,4.977162084717226e-19,4.977162084717225e-17,0.9999999999999999,99.99999999999999
PC113,113,2.5928424054986183e-17,4.828216777044124e-19,4.828216777044124e-17,0.9999999999999999,99.99999999999999
PC114,114,2.5361031566143952e-17,4.722560763088658e-19,4.7225607630886576e-17,0.9999999999999999,99.99999999999999
PC115,115,2.522002071670499e-17,4.696302670905245e-19,4.6963026709052447e-17,0.9999999999999999,99.99999999999999
PC116,116,2.5163229732816607e-17,4.685727435765105e-19,4.685727435765105e-17,0.9999999999999999,99.99999999999999
PC117,117,2.516279078208507e-17,4.685645697311515e-19,4.6856456973115144e-17,0.9999999999999999,99.99999999999999
PC118,118,2.484433134341379e-17,4.626344322058627e-19,4.626344322058627e-17,0.9999999999999999,99.99999999999999
PC119,119,2.450810967295943e-17,4.563735383441652e-19,4.5637353834416513e-17,0.9999999999999999,99.99999999999999
PC120,120,2.428179970204381e-17,4.521593462433651e-19,4.521593462433651e-17,0.9999999999999999,99.99999999999999
PC121,121,2.4258678556353376e-17,4.517287998156675e-19,4.517287998156675e-17,0.9999999999999999,99.99999999999999
PC122,122,2.424086368422016e-17,4.513970632460554e-19,4.513970632460554e-17,0.9999999999999999,99.99999999999999
PC123,123,2.3420032923714477e-17,4.361121047750631e-19,4.3611210477506306e-17,0.9999999999999999,99.99999999999999
PC124,124,2.3316729892760584e-17,4.341884651966862e-19,4.341884651966862e-17,0.9999999999999999,99.99999999999999
PC125,125,2.2921788253845893e-17,4.268341275673828e-19,4.2683412756738276e-17,0.9999999999999999,99.99999999999999
PC126,126,2.2784294515030216e-17,4.24273811618058e-19,4.2427381161805804e-17,0.9999999999999999,99.99999999999999
PC127,127,2.2511341210732664e-17,4.1919105872739153e-19,4.1919105872739154e-17,0.9999999999999999,99.99999999999999
PC128,128,2.2178059069468177e-17,4.129849028016405e-19,4.1298490280164044e-17,0.9999999999999999,99.99999999999999
PC129,129,2.1837082423385856e-17,4.0663546498118677e-19,4.066354649811868e-17,0.9999999999999999,99.99999999999999
PC130,130,2.177469475529572e-17,4.0547372377734555e-19,4.054737237773456e-17,0.9999999999999999,99.99999999999999
PC131,131,2.174436110225811e-17,4.049088708877344e-19,4.0490887088773435e-17,0.9999999999999999,99.99999999999999
PC132,132,2.1414712526211893e-17,3.9877037677016007e-19,3.987703767701601e-17,0.9999999999999999,99.99999999999999
PC133,133,2.1382146924602856e-17,3.9816396203508077e-19,3.9816396203508077e-17,1,100
PC134,134,2.104346768977255e-17,3.918573050621141e-19,3.9185730506211414e-17,1,100
PC135,135,2.060798900874821e-17,3.8374811389296386e-19,3.8374811389296385e-17,1,100
PC136,136,2.022148481964066e-17,3.765508927803755e-19,3.7655089278037545e-17,1,100
PC137,137,2.0007354626128664e-17,3.7256350430433927e-19,3.7256350430433933e-17,1,100
PC138,138,1.976588283648661e-17,3.6806697901047583e-19,3.680669790104758e-17,1,100
PC139,139,1.971640402386575e-17,3.671456178328831e-19,3.671456178328831e-17,1,100
PC140,140,1.9705744625669732e-17,3.6694712568737485e-19,3.669471256873749e-17,1,100
PC141,141,1.9446741718782952e-17,3.621241477166275e-19,3.621241477166275e-17,1,100
PC142,142,1.9121264888668874e-17,3.5606333704659476e-19,3.5606333704659475e-17,1,100
PC143,143,1.9053408815929937e-17,3.5479976688850237e-19,3.5479976688850234e-17,1,100
PC144,144,1.8856837723174404e-17,3.511393521794886e-19,3.511393521794886e-17,1,100
PC145,145,1.868157348381283e-17,3.47875699367012e-19,3.4787569936701204e-17,1,100
PC146,146,1.835755632100701e-17,3.418420696400697e-19,3.418420696400697e-17,1,100
PC147,147,1.8311290134486678e-17,3.409805318254552e-19,3.4098053182545524e-17,1,100
PC148,148,1.7662680764771594e-17,3.2890256428695314e-19,3.289025642869531e-17,1,100
PC149,149,1.750449672252092e-17,3.259569674198405e-19,3.259569674198405e-17,1,100
PC150,150,1.7197079996952072e-17,3.202324598724948e-19,3.202324598724948e-17,1,100
PC151,151,1.6686652051917347e-17,3.107276139070691e-19,3.107276139070691e-17,1,100
PC152,152,1.6538025794403908e-17,3.07959995680393e-19,3.07959995680393e-17,1,100
PC153,153,1.6496119964889076e-17,3.071796535019005e-19,3.071796535019005e-17,1,100
PC154,154,1.6357995237211497e-17,3.046075877022851e-19,3.046075877022851e-17,1,100
PC155,155,1.625932806799461e-17,3.027702740238828e-19,3.027702740238828e-17,1,100
PC156,156,1.575894396105265e-17,2.9345245765764353e-19,2.9345245765764356e-17,1,100
PC157,157,1.5664190282012383e-17,2.916880183617624e-19,2.916880183617624e-17,1,100
PC158,158,1.5584056335056572e-17,2.9019581788601305e-19,2.9019581788601306e-17,1,100
PC159,159,1.53264597099469e-17,2.8539902674889307e-19,2.8539902674889307e-17,1,100
PC160,160,1.442565788569106e-17,2.6862490090367956e-19,2.6862490090367954e-17,1,100
PC161,161,1.435275893655847e-17,2.6726742569236543e-19,2.6726742569236543e-17,1,100
PC162,162,1.4066524499592417e-17,2.619373604797768e-19,2.619373604797768e-17,1,100
PC163,163,1.4026284864653196e-17,2.611880450562722e-19,2.6118804505627224e-17,1,100
PC164,164,1.3828561389423863e-17,2.5750617145572787e-19,2.5750617145572785e-17,1,100
PC165,165,1.3182703467353057e-17,2.454794395251019e-19,2.4547943952510187e-17,1,100
PC166,166,1.3072917861993502e-17,2.4343508580521966e-19,2.434350858052197e-17,1,100
PC167,167,1.2467830610263426e-17,2.321675578822611e-19,2.3216755788226113e-17,1,100
PC168,168,1.2392062170923078e-17,2.307566489538291e-19,2.3075664895382907e-17,1,100
PC169,169,1.2315637748902005e-17,2.2933352475701893e-19,2.2933352475701896e-17,1,100
PC170,170,1.2279411347828934e-17,2.286589410759514e-19,2.286589410759514e-17,1,100
PC171,171,1.2237221371537748e-17,2.2787330770725837e-19,2.2787330770725837e-17,1,100
PC172,172,1.199465441899224e-17,2.233563890262271e-19,2.2335638902622706e-17,1,100
PC173,173,1.1833391676955065e-17,2.2035346268189995e-19,2.2035346268189995e-17,1,100
PC174,174,1.1682671958011145e-17,2.175468614241715e-19,2.175468614241715e-17,1,100
PC175,175,1.144875857308078e-17,2.131910836603518e-19,2.1319108366035178e-17,1,100
PC176,176,1.1298739186533499e-17,2.103975235215891e-19,2.103975235215891e-17,1,100
