PC1,PC2,doc_id,book,chapter,section
-0.006474467370954668,-0.0041548366831334425,Amos_1,Amos,1,Amos
-0.009137539282867344,-0.0040306975407183405,Amos_2,Amos,2,Amos
-0.007700738002612327,-0.0072105419765147016,Amos_3,Amos,3,Amos
0.00406612982939221,0.003940540469983883,Amos_4,Amos,4,Amos
-4.4362627543157124e-4,-0.004565686808361832,Amos_5,Amos,5,Amos
-0.008894929676971183,-0.004319117248350766,Amos_6,Amos,6,Amos
-0.008929188274247378,1.1307734191208191e-4,Amos_7,Amos,7,Amos
-0.007601231868034752,-0.002213551070044853,Amos_8,Amos,8,Amos
-0.016740330648902468,-0.008833409686183487,Amos_9,Amos,9,Amos
-0.02048365252748869,-0.001503774811574265,Ezekiel_1,Ezekiel,1,Ezekiel
-0.004774035821889554,0.009785831384427436,Ezekiel_2,Ezekiel,2,Ezekiel
5.319370342219341e-4,0.003376728048391954,Ezekiel_3,Ezekiel,3,Ezekiel
0.00222155749667114,0.005575675649285444,Ezekiel_4,Ezekiel,4,Ezekiel
-0.006191983758119969,-0.004969536956651039,Ezekiel_5,Ezekiel,5,Ezekiel
-0.006519254689719365,-0.0048830212124669386,Ezekiel_6,Ezekiel,6,Ezekiel
-0.012840418493416429,-0.012112176970791266,Ezekiel_7,Ezekiel,7,Ezekiel
-0.013885374821835255,0.0013612448047479798,Ezekiel_8,Ezekiel,8,Ezekiel
-0.00989369074516302,0.0070471203255777016,Ezekiel_9,Ezekiel,9,Ezekiel
-0.024698826702565225,0.0012866265380370888,Ezekiel_10,Ezekiel,10,Ezekiel
-0.014042314545110736,-0.005273104803877365,Ezekiel_11,Ezekiel,11,Ezekiel
-0.007283309399155226,-0.006525048426187665,Ezekiel_12,Ezekiel,12,Ezekiel
-0.0035610398856333303,-0.0020546068389085317,Ezekiel_13,Ezekiel,13,Ezekiel
-0.0023761354804335577,-0.0016857294295105445,Ezekiel_14,Ezekiel,14,Ezekiel
-0.005248444021101364,-0.006730849160884451,Ezekiel_15,Ezekiel,15,Ezekiel
0.005863433860118831,0.006846869503349041,Ezekiel_16,Ezekiel,16,Ezekiel
-4.514188470005249e-4,0.0030796273972856646,Ezekiel_17,Ezekiel,17,Ezekiel
0.008102389307300386,-0.0029022139432240634,Ezekiel_18,Ezekiel,18,Ezekiel
-0.0016027116402228584,0.012445699733186643,Ezekiel_19,Ezekiel,19,Ezekiel
-0.009448866422484771,-0.0024069417769070345,Ezekiel_20,Ezekiel,20,Ezekiel
-0.0025297370777725746,-0.003144430032322442,Ezekiel_21,Ezekiel,21,Ezekiel
-0.008294381872030803,-3.8413125542815276e-4,Ezekiel_22,Ezekiel,22,Ezekiel
-0.004872584091322866,0.0032371160194576433,Ezekiel_23,Ezekiel,23,Ezekiel
-0.003651489432496493,-0.003516316342924489,Ezekiel_24,Ezekiel,24,Ezekiel
-0.009065947681822194,-0.0014376181604161297,Ezekiel_25,Ezekiel,25,Ezekiel
-0.0064089266126339,-0.008213561740578006,Ezekiel_26,Ezekiel,26,Ezekiel
