doc_id,neighbor_doc_id,similarity,rank,author,author_code,short_name,chapter_title,target_book,target_chapter,target_header,mosiah_priority,mosiah_priority_label
OC-3,1_Nephi_14,0.917591561220525,13,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",1 Nephi,14,1 Nephi 14,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-3,Helaman_2,0.9175370872093385,14,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Helaman,2,Helaman 2,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Jacob_1,0.9167180424204201,15,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Jacob,1,Jacob 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-3,1_Nephi_19,0.9161866763561007,16,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",1 Nephi,19,1 Nephi 19,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-3,Alma_8,0.9151501473759804,17,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,8,Alma 8,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Mosiah_18,0.9148078738347597,18,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Mosiah,18,Mosiah 18,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Alma_30,0.9136895140241039,19,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,30,Alma 30,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Mosiah_29,0.9128758298263192,20,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Mosiah,29,Mosiah 29,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Mosiah_27,0.9448346022896421,1,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Mosiah,27,Mosiah 27,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Mosiah_7,0.942559804156655,2,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Mosiah,7,Mosiah 7,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_46,0.9378177837098898,3,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,46,Alma 46,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Mosiah_29,0.937170979057114,4,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Mosiah,29,Mosiah 29,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_12,0.9341100820006939,5,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,12,Alma 12,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Helaman_2,0.9332562505374848,6,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Helaman,2,Helaman 2,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_10,0.9325562302333407,7,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,10,Alma 10,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_13,0.930590652709572,8,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,13,Alma 13,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_47,0.930451789264962,9,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,47,Alma 47,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_42,0.9282754129419943,10,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,42,Alma 42,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_1,0.9258835499873841,11,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,1,Alma 1,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Mosiah_18,0.9257411247047707,12,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Mosiah,18,Mosiah 18,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Helaman_1,0.9227681724992849,13,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Helaman,1,Helaman 1,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_17,0.9217677894710834,14,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,17,Alma 17,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_8,0.9202780237904159,15,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,8,Alma 8,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Ether_13,0.9201348853312729,16,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Ether,13,Ether 13,MP-2,MP-2_3Nephi_to_Moroni
OC-4,Alma_19,0.9191708581772056,17,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,19,Alma 19,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_50,0.9181187777143603,18,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,50,Alma 50,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_22,0.9180854002796565,19,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,22,Alma 22,MP-1,MP-1_Mosiah_Alma_Helaman
OC-4,Alma_51,0.916079109954958,20,Oliver Cowdery,OC,OC-4,"Letter to WW Phelps, Letter 4, February 1835. LDS Messenger and Advocate Vol 1, No 5",Alma,51,Alma 51,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Mosiah_27,0.9541569396312072,1,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Mosiah,27,Mosiah 27,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Alma_42,0.950560482758304,2,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,42,Alma 42,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Mosiah_7,0.9457723766542007,3,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Mosiah,7,Mosiah 7,MP-1,MP-1_Mosiah_Alma_Helaman
