source_doc,target_doc,similarity,rank,source_corpus,source_book,source_chapter,source_header,author,author_code,short_name,chapter_original,chapter_title,target_corpus,target_source,target_book,target_chapter,target_section,target_genre,target_header
SR-10,Alma_27,0.9409280288199181,5,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,27,MP-1,Modern_Scripture,Alma 27
SR-10,3_Nephi_4,0.9401229385470367,6,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,3 Nephi,4,MP-2,Modern_Scripture,3 Nephi 4
SR-10,Helaman_5,0.9376793557318797,7,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Helaman,5,MP-1,Modern_Scripture,Helaman 5
SR-10,Mosiah_7,0.9367649607695533,8,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Mosiah,7,MP-1,Modern_Scripture,Mosiah 7
SR-10,1_Nephi_15,0.9366018352603231,9,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,1 Nephi,15,MP-3,Modern_Scripture,1 Nephi 15
SR-10,Alma_49,0.9364951196584699,10,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,49,MP-1,Modern_Scripture,Alma 49
SR-10,Alma_16,0.9359961389765763,11,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,16,MP-1,Modern_Scripture,Alma 16
SR-10,Mosiah_23,0.9349995462761741,12,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Mosiah,23,MP-1,Modern_Scripture,Mosiah 23
SR-10,Alma_22,0.9347182603368536,13,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,22,MP-1,Modern_Scripture,Alma 22
SR-10,Alma_51,0.9346192910793476,14,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,51,MP-1,Modern_Scripture,Alma 51
SR-10,Alma_62,0.9345806847963591,15,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,62,MP-1,Modern_Scripture,Alma 62
SR-10,Mosiah_18,0.9338648893190037,16,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Mosiah,18,MP-1,Modern_Scripture,Mosiah 18
SR-10,Alma_31,0.9335199571547046,17,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,31,MP-1,Modern_Scripture,Alma 31
SR-10,Alma_56,0.9331290192938547,18,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,56,MP-1,Modern_Scripture,Alma 56
SR-10,Alma_21,0.9310180872774056,19,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,21,MP-1,Modern_Scripture,Alma 21
SR-10,Alma_14,0.9301123717427168,20,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,14,MP-1,Modern_Scripture,Alma 14
SR-11,2_Nephi_9,0.93133427546998,1,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOM,BOM_1830,2 Nephi,9,MP-3,Modern_Scripture,2 Nephi 9
SR-11,DC_1835__107__section_128,0.9278507616937132,2,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,128,Section 128,Modern_Scripture,Section 128 (1835 Doctrine and Covenants)
SR-11,DC_1835__097__section_102,0.9264008792463888,3,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,102,Section 102,Modern_Scripture,Section 102 (1835 Doctrine and Covenants)
