source_doc,short_name,source_header,target_corpus,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",KJV,15,12.838997607774182,0.8559331738516122,0.8743036908222444,0.75,0.7521978870049227
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",DC,3,2.5344156014086963,0.8448052004695653,0.8465391748275507,0.15,0.14848371488266285
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",BOM,2,1.6952303347335853,0.8476151673667927,0.8513200774963178,0.1,0.09931839811241429
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",BOM,16,14.740379281398967,0.9212737050874354,0.9347347128690958,0.8,0.8002380214693727
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",KJV,3,2.7586526770700206,0.9195508923566735,0.9201106755047214,0.15,0.14976404053628847
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",DC,1,0.9209617008339424,0.9209617008339424,0.9209617008339424,0.05,0.04999793799433884
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,16,14.47675705263054,0.9047973157894087,0.9214080688671871,0.8,0.7983716319015348
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",DC,3,2.73322680579314,0.9110756019310466,0.9255479497189967,0.15,0.1507333954258477
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOC,1,0.9228711606734832,0.9228711606734832,0.9228711606734832,0.05,0.05089497267261739
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",BOM,10,9.295264161970692,0.9295264161970693,0.9375604752974575,0.5,0.4978062663405347
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",DC,5,4.708267396741065,0.9416534793482131,0.9557267860705706,0.25,0.25215044703018186
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",KJV,3,2.797803590940564,0.932601196980188,0.9354475868885624,0.15,0.14983588796307887
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",BOC,2,1.8711179520369898,0.9355589760184949,0.9363791640398316,0.1,0.10020739866620462
SR-23,SR-23,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Gospel",BOM,20,18.630019126338695,0.9315009563169347,0.94544800984502,1,1
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",BOM,18,16.38987515347596,0.9105486196375533,0.9369553271076834,0.9,0.8974946290213899
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",BOC,1,0.9387685175725471,0.9387685175725471,0.9387685175725471,0.05,0.051406108620482546
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",DC,1,0.9331649498533814,0.9331649498533814,0.9331649498533814,0.05,0.05109926235812757
SR-25,SR-25,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 9: Kirtland, OH June 1835) titled Gospel",BOM,16,14.347447291623098,0.8967154557264436,0.9056914820302123,0.8,0.8003761760802154
SR-25,SR-25,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 9: Kirtland, OH June 1835) titled Gospel",KJV,4,3.5784327138122065,0.8946081784530516,0.9009080694745873,0.2,0.19962382391978473
SR-26,SR-26,"To the Public. Evening and Morning Star, Vol II, No.19: Kirtland, Ohio: April 1834",KJV,12,10.399773074945758,0.8666477562454797,0.8754097838667122,0.6,0.601697281212292
SR-26,SR-26,"To the Public. Evening and Morning Star, Vol II, No.19: Kirtland, Ohio: April 1834",BOM,8,6.884288860638241,0.8605361075797802,0.8685185406525083,0.4,0.398302718787708
SR-27,SR-27,"Dear Brethren, Zion's Camp. Epistle to LDS by SR and OC (May 10, 1834)",BOM,15,13.38226307027764,0.8921508713518427,0.9083670415674301,0.75,0.7500884870359845
SR-27,SR-27,"Dear Brethren, Zion's Camp. Epistle to LDS by SR and OC (May 10, 1834)",DC,5,4.458649437469786,0.8917298874939573,0.9216368531179128,0.25,0.24991151296401545
SR-28,SR-28,"Ancient Order of Things, LDS Messenger and Advocate, Vol 1, No 12, Kirtland Ohio, September 1835",BOM,15,13.957871596413021,0.9305247730942015,0.9431050218226185,0.75,0.7477674915442852
SR-28,SR-28,"Ancient Order of Things, LDS Messenger and Advocate, Vol 1, No 12, Kirtland Ohio, September 1835",DC,4,3.7609053295856523,0.9402263323964131,0.9548130059336701,0.2,0.2014836377318813
SR-28,SR-28,"Ancient Order of Things, LDS Messenger and Advocate, Vol 1, No 12, Kirtland Ohio, September 1835",BOC,1,0.9472813798890337,0.9472813798890337,0.9472813798890337,0.05,0.0507488707238335
SR-29,SR-29,"ORDER OF THE NEW TESTAMENT CHURCH. No. I., LDS Messenger and Advocate, Vol 2, No 2, Kirtland Ohio, November 1835",BOM,17,15.714132434466908,0.9243607314392299,0.9413865235485134,0.85,0.8504955651308436
SR-29,SR-29,"ORDER OF THE NEW TESTAMENT CHURCH. No. I., LDS Messenger and Advocate, Vol 2, No 2, Kirtland Ohio, November 1835",DC,2,1.8455333389308546,0.9227666694654273,0.9234077582024632,0.1,0.09988575103383097
SR-29,SR-29,"ORDER OF THE NEW TESTAMENT CHURCH. No. I., LDS Messenger and Advocate, Vol 2, No 2, Kirtland Ohio, November 1835",BOC,1,0.9167767604905654,0.9167767604905654,0.9167767604905654,0.05,0.04961868383532551
SR-3,SR-3,"Series of 14 articles from Evening and Morning Star (Vol II, 15: Kirtland, OH December 1833) titled Millenium",KJV,8,7.173483146412231,0.8966853933015289,0.9147223396011651,0.4,0.40070865068609257
