source_doc,short_name,source_header,target_corpus,target_book,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
SR-16,SR-16,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Millenium",DC,Doctrine and Covenants,4,3.7079850581228344,0.9269962645307086,0.9302570204291872,0.2,0.1992756314392618
SR-16,SR-16,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Millenium",KJV,2 Kings,2,1.8561296859605,0.92806484298025,0.9313661845758764,0.1,0.09975267143880824
SR-16,SR-16,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Millenium",BOM,Ether,1,0.9309238909226956,0.9309238909226956,0.9309238909226956,0.05,0.05002998752088532
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOM,Alma,5,4.735515414283271,0.9471030828566542,0.9572023502666706,0.25,0.2508173709767774
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",DC,Doctrine and Covenants,5,4.730358156110309,0.946071631222062,0.9523560431615447,0.25,0.2505442159296015
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOM,Mosiah,4,3.761949140097742,0.9404872850244355,0.9492895120887619,0.2,0.1992522693985305
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",KJV,1 Kings,1,0.9458347598079606,0.9458347598079606,0.9458347598079606,0.05,0.05009629725160337
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOM,1 Nephi,1,0.9431785296440491,0.9431785296440491,0.9431785296440491,0.05,0.049955609573887866
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOM,2 Nephi,1,0.9428576330991121,0.9428576330991121,0.9428576330991121,0.05,0.049938613234373506
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOC,Book of Commandments,1,0.942303090109059,0.942303090109059,0.942303090109059,0.05,0.049909241771567324
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOM,Ether,1,0.9411054167254057,0.9411054167254057,0.9411054167254057,0.05,0.049845806799215485
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOM,Jacob,1,0.9372305732896026,0.9372305732896026,0.9372305732896026,0.05,0.04964057506444309
SR-18,SR-18,"Series of 9 articles from Evening and Morning Star (Vol II, 24: Kirtland, OH September 1834) titled Gospel",BOM,Alma,12,11.30625491559056,0.9421879096325467,0.9544160954020086,0.6,0.6005468620157862
SR-18,SR-18,"Series of 9 articles from Evening and Morning Star (Vol II, 24: Kirtland, OH September 1834) titled Gospel",BOM,Mosiah,3,2.8345354680162917,0.9448451560054305,0.9525962903379828,0.15,0.15056014509652663
