corpus_id,doc_id,feature_set,neighbor_section,top5_count,similarity_sum,weighted_similarity_sum
KJV,Psalms_148,function_words,Psalms,7,4.269640735628515,13.975537551941526
KJV,Psalms_148,pos3,Psalms,7,4.7027761870177915,16.54144822439246
KJV,Psalms_148,word3,Psalms,10,6.401605580050809,19.639849796630596
KJV,Psalms_149,char3,Psalms,10,6.160239074221006,18.559651405534776
KJV,Psalms_149,char4,Psalms,10,5.947262528908867,18.038308277204603
KJV,Psalms_149,function_words,Psalms,8,5.400516587879481,16.383807402074158
KJV,Psalms_149,pos3,Psalms,6,4.084686281591192,12.362569644698077
KJV,Psalms_149,word3,Psalms,10,6.1869618743947905,18.93164051912559
KJV,Psalms_15,char3,Proverbs,5,3.4064873133770166,10.343410553983441
KJV,Psalms_15,char4,Psalms,5,3.8122697543963557,11.56282197353345
KJV,Psalms_15,function_words,Proverbs,2,1.5289723631385712,6.895269977061029
KJV,Psalms_15,pos3,Psalms,7,4.4254555260686015,15.43082034546387
KJV,Psalms_15,word3,Psalms,10,5.295484551013484,16.374288727547814
KJV,Psalms_150,char3,Psalms,10,5.530401255397396,17.088455017647476
KJV,Psalms_150,char4,Psalms,10,6.171666090370538,19.07620233522646
KJV,Psalms_150,function_words,Psalms,8,5.037033268789123,15.271458613025256
KJV,Psalms_150,pos3,Psalms,9,5.598788960906886,17.671970549610126
KJV,Psalms_150,word3,Psalms,10,6.183099802872636,18.901150366858417
KJV,Psalms_16,char3,Psalms,5,2.7971261377142893,7.008789608247487
KJV,Psalms_16,char4,Psalms,6,4.101087538239461,12.860652376543698
KJV,Psalms_16,function_words,Psalms,8,5.236086946013209,15.887535438861015
KJV,Psalms_16,pos3,Psalms,6,3.9063042380434676,13.01390315931986
KJV,Psalms_16,word3,Psalms,10,5.187714402971844,15.697331905204019
KJV,Psalms_17,char3,Psalms,6,3.3451375278319335,11.615723859317226
KJV,Psalms_17,char4,Psalms,7,4.5296437875711035,13.240141261744634
KJV,Psalms_17,function_words,Psalms,8,5.249954939181067,17.264768819159595
KJV,Psalms_17,pos3,Psalms,5,3.009301269273777,9.110956347509847
KJV,Psalms_17,word3,Psalms,10,4.941551245064659,14.948125602525145
KJV,Psalms_18,char3,2 Samuel,2,1.822344103361101,9.111720516805505
