doc_id,doc_book,doc_chapter,doc_section,neighbor_section,vote_count,similarity_sum,mean_rank,mean_distance,count_rank,similarity_rank
Isaiah_29,Isaiah,29,Isaiah_1_35,Proverbs,1,0.7801257447280274,3,0.21987425527197257,5,5
Isaiah_29,Isaiah,29,Isaiah_1_35,Hosea,1,0.7198271983276728,3,0.38922230546891556,5,6
Isaiah_29,Isaiah,29,Isaiah_1_35,1 Kings,1,0.6975150834841078,5,0.4336607532628131,5,7
Isaiah_29,Isaiah,29,Isaiah_1_35,Amos,1,0.6941660150707761,5,0.44057758272427316,5,8
Isaiah_29,Isaiah,29,Isaiah_1_35,Ezekiel,1,0.2060031652068366,4,0.7939968347931634,5,9
Isaiah_3,Isaiah,3,Isaiah_1_35,Isaiah_1_35,16,10.118996839301612,2.875,0.39597243825084333,1,2
Isaiah_3,Isaiah,3,Isaiah_1_35,Jeremiah,15,11.60966182091306,2.933333333333333,0.28338685895100657,2,1
Isaiah_3,Isaiah,3,Isaiah_1_35,Psalms,11,9.014033935457642,3,0.22403823102442658,3,3
Isaiah_3,Isaiah,3,Isaiah_1_35,Ezekiel,3,2.6337790680804885,3.3333333333333335,0.16642409647330927,4,4
Isaiah_3,Isaiah,3,Isaiah_1_35,2 Kings,2,1.8252192943930043,4.5,0.08739035280349788,5,5
Isaiah_3,Isaiah,3,Isaiah_1_35,1 Samuel,1,0.9658185457822183,3,0.03418145421778174,6,6
Isaiah_3,Isaiah,3,Isaiah_1_35,Hosea,1,0.775655835261215,1,0.28923158253973996,6,7
Isaiah_3,Isaiah,3,Isaiah_1_35,Amos,1,0.19400706097049403,4,0.805992939029506,6,8
Isaiah_30,Isaiah,30,Isaiah_1_35,Isaiah_1_35,16,12.294239520860561,2.8125,0.26706517882583075,1,1
Isaiah_30,Isaiah,30,Isaiah_1_35,Jeremiah,13,9.122477161605591,3,0.3696842660465075,2,2
Isaiah_30,Isaiah,30,Isaiah_1_35,Psalms,10,7.727767992763764,3,0.2622516143007792,3,3
Isaiah_30,Isaiah,30,Isaiah_1_35,2 Kings,3,2.59951063333034,2,0.15187570765156716,4,4
Isaiah_30,Isaiah,30,Isaiah_1_35,1 Samuel,2,1.5868689624422703,3.5,0.20656551877886487,5,5
Isaiah_30,Isaiah,30,Isaiah_1_35,Isaiah_40_55,2,1.58432005261978,4.5,0.20783997369010998,5,6
Isaiah_30,Isaiah,30,Isaiah_1_35,1 Kings,2,1.5803873474138288,3.5,0.2667862167589585,5,7
Isaiah_30,Isaiah,30,Isaiah_1_35,Ezekiel,1,0.7660851829210461,3,0.3053378688085937,8,8
Isaiah_30,Isaiah,30,Isaiah_1_35,Isaiah_56_66,1,0.24364925959260542,4,0.7563507404073946,8,9
Isaiah_31,Isaiah,31,Isaiah_1_35,Jeremiah,15,10.737152470073124,2.6,0.34039315561269845,1,1
Isaiah_31,Isaiah,31,Isaiah_1_35,Isaiah_1_35,15,8.882806355039527,3.1333333333333333,0.44179522498328105,1,3
Isaiah_31,Isaiah,31,Isaiah_1_35,Psalms,12,9.899754774237936,3.25,0.22009307262473898,3,2
Isaiah_31,Isaiah,31,Isaiah_1_35,1 Kings,4,3.3267711389431054,3.25,0.2155798551035865,4,4
Isaiah_31,Isaiah,31,Isaiah_1_35,2 Kings,3,2.595008195607637,2.3333333333333335,0.17355466710271508,5,5
Isaiah_31,Isaiah,31,Isaiah_1_35,Isaiah_40_55,1,0.6601121360534619,5,0.514894129925542,6,6
Isaiah_32,Isaiah,32,Isaiah_1_35,Isaiah_1_35,18,12.424746168020915,2.8333333333333335,0.3342375437501856,1,1
Isaiah_32,Isaiah,32,Isaiah_1_35,Psalms,13,10.21746085433616,3.076923076923077,0.2688805494239537,2,2
Isaiah_32,Isaiah,32,Isaiah_1_35,Ezekiel,9,6.577339113320372,3.3333333333333335,0.32664059812491325,3,3
Isaiah_32,Isaiah,32,Isaiah_1_35,Jeremiah,6,4.769187077366129,3,0.2695718600149506,4,4
Isaiah_32,Isaiah,32,Isaiah_1_35,2 Kings,1,0.7511021658164311,1,0.3313768026657501,5,5
Isaiah_32,Isaiah,32,Isaiah_1_35,Hosea,1,0.7436853329108223,5,0.34465472928711544,5,6
Isaiah_32,Isaiah,32,Isaiah_1_35,Job,1,0.11794125865200433,1,0.8820587413479957,5,7
Isaiah_32,Isaiah,32,Isaiah_1_35,Proverbs,1,0.10277681107104264,4,0.8972231889289574,5,8
Isaiah_33,Isaiah,33,Isaiah_1_35,Psalms,17,10.862792523203069,3,0.3957726221847527,1,2
Isaiah_33,Isaiah,33,Isaiah_1_35,Isaiah_1_35,16,11.783274835008006,2.875,0.3102213807112682,2,1
Isaiah_33,Isaiah,33,Isaiah_1_35,Jeremiah,7,5.265777879279079,3.2857142857142856,0.32048544103823023,3,3
Isaiah_33,Isaiah,33,Isaiah_1_35,Isaiah_40_55,3,2.430588596813532,3.6666666666666665,0.2505822379655294,4,4
Isaiah_33,Isaiah,33,Isaiah_1_35,2 Kings,2,1.641679078087764,1,0.21418119433796914,5,5
Isaiah_33,Isaiah,33,Isaiah_1_35,Hosea,2,1.439055042737562,3.5,0.3898096747703055,5,6
Isaiah_33,Isaiah,33,Isaiah_1_35,Proverbs,1,0.9292429428723081,5,0.07075705712769187,7,7
Isaiah_33,Isaiah,33,Isaiah_1_35,2 Samuel,1,0.8008770080890344,3,0.1991229919109656,7,8
Isaiah_33,Isaiah,33,Isaiah_1_35,Ezekiel,1,0.6988582955492809,2,0.4309052441225314,7,9
Isaiah_34,Isaiah,34,Isaiah_1_35,Isaiah_1_35,25,19.306142296095285,2.76,0.25434903488143545,1,1
Isaiah_34,Isaiah,34,Isaiah_1_35,Psalms,13,9.411497250487393,2.8461538461538463,0.31473862383213236,2,2
Isaiah_34,Isaiah,34,Isaiah_1_35,Jeremiah,7,4.642138056244344,3.2857142857142856,0.4035068228559376,3,3
Isaiah_34,Isaiah,34,Isaiah_1_35,Ezekiel,3,2.2697840560474853,3.6666666666666665,0.3303228427893748,4,4
Isaiah_34,Isaiah,34,Isaiah_1_35,Isaiah_56_66,1,0.7408596894315697,5,0.34978325081670697,5,5
Isaiah_34,Isaiah,34,Isaiah_1_35,Amos,1,0.6825497429346514,5,0.46509468408918847,5,6
Isaiah_35,Isaiah,35,Isaiah_1_35,Isaiah_1_35,17,12.788211997209086,2.6470588235294117,0.3010064022015046,1,1
Isaiah_35,Isaiah,35,Isaiah_1_35,Psalms,12,8.768702133979973,2.9166666666666665,0.30077435536767744,2,2
Isaiah_35,Isaiah,35,Isaiah_1_35,Jeremiah,10,7.886269584099322,3.2,0.27629038069182504,3,3
Isaiah_35,Isaiah,35,Isaiah_1_35,Isaiah_56_66,5,3.06358967299563,4,0.4356689737450846,4,4
Isaiah_35,Isaiah,35,Isaiah_1_35,Ezekiel,4,2.810953422974303,3.75,0.3731069894207909,5,5
Isaiah_35,Isaiah,35,Isaiah_1_35,Isaiah_40_55,2,1.116515125281969,1.5,0.4417424373590156,6,6
Isaiah_36,Isaiah,36,Isaiah_36_39,2 Kings,16,12.006287808239968,2.4375,0.27731382753673917,1,1
Isaiah_36,Isaiah,36,Isaiah_36_39,Jeremiah,11,8.138892702975523,3.5454545454545454,0.3400330334238253,2,2
Isaiah_36,Isaiah,36,Isaiah_36_39,Psalms,8,6.422567230248669,3.25,0.248093193143645,3,3
Isaiah_36,Isaiah,36,Isaiah_36_39,Isaiah_36_39,8,6.200188798395075,2.5,0.24045140837404255,3,4
Isaiah_36,Isaiah,36,Isaiah_36_39,1 Kings,2,1.8028196671282206,4.5,0.09859016643588969,5,5
Isaiah_36,Isaiah,36,Isaiah_36_39,Isaiah_40_55,2,1.5471105856453558,3,0.2997718150377396,5,6
Isaiah_36,Isaiah,36,Isaiah_36_39,Hosea,1,0.7271793553539736,4,0.3751765539510177,7,7
Isaiah_36,Isaiah,36,Isaiah_36_39,Ezekiel,1,0.7268195956803173,5,0.3758572360228959,7,8
Isaiah_36,Isaiah,36,Isaiah_36_39,Isaiah_1_35,1,0.41747888316198556,2,0.5825211168380144,7,9
Isaiah_37,Isaiah,37,Isaiah_36_39,2 Kings,23,18.822164528963956,2.4347826086956523,0.21419887114054692,1,1
Isaiah_37,Isaiah,37,Isaiah_36_39,Jeremiah,7,4.884358528480847,3.5714285714285716,0.36225216978686814,2,3
Isaiah_37,Isaiah,37,Isaiah_36_39,Psalms,6,4.962740738650778,3.1666666666666665,0.21040622821354563,3,2
Isaiah_37,Isaiah,37,Isaiah_36_39,Isaiah_36_39,6,4.612010428708225,3.3333333333333335,0.24615285684854243,3,4
Isaiah_37,Isaiah,37,Isaiah_36_39,1 Kings,3,2.367966542369476,4,0.24792452784267088,5,5
Isaiah_37,Isaiah,37,Isaiah_36_39,1 Samuel,1,0.9691613283363107,5,0.030838671663689254,6,6
Isaiah_37,Isaiah,37,Isaiah_36_39,Isaiah_40_55,1,0.8575602620015718,3,0.14243973799842824,6,7
Isaiah_37,Isaiah,37,Isaiah_36_39,Job,1,0.853337922862541,4,0.14666207713745905,6,8
Isaiah_37,Isaiah,37,Isaiah_36_39,Hosea,1,0.7477246878896646,1,0.33739064149713016,6,9
Isaiah_37,Isaiah,37,Isaiah_36_39,Isaiah_1_35,1,0.7400485260207592,5,0.35126274134616536,6,10
Isaiah_38,Isaiah,38,Isaiah_36_39,Jeremiah,19,13.91609052706257,3.6315789473684212,0.33510691288276206,1,1
Isaiah_38,Isaiah,38,Isaiah_36_39,2 Kings,11,7.062861698303015,1.8181818181818181,0.3957555299463503,2,3
Isaiah_38,Isaiah,38,Isaiah_36_39,Psalms,10,8.509795981558625,3.1,0.1791166580309515,3,2
Isaiah_38,Isaiah,38,Isaiah_36_39,Isaiah_36_39,9,6.592159131442147,3.2222222222222223,0.30177522330990614,4,4
Isaiah_38,Isaiah,38,Isaiah_36_39,Hosea,1,0.7401466185383749,1,0.35108365687703574,5,5
Isaiah_39,Isaiah,39,Isaiah_36_39,2 Kings,14,9.655530582354722,2.4285714285714284,0.32415620617382307,1,1
Isaiah_39,Isaiah,39,Isaiah_36_39,Jeremiah,12,7.853719747497837,2.9166666666666665,0.4290405447785745,2,3
Isaiah_39,Isaiah,39,Isaiah_36_39,Psalms,10,8.148225198620535,3.4,0.23671750753919135,3,2
Isaiah_39,Isaiah,39,Isaiah_36_39,Isaiah_36_39,5,3.8681378553458217,2.4,0.24415794289073156,4,4
Isaiah_39,Isaiah,39,Isaiah_36_39,1 Kings,3,2.5058198821724917,4.333333333333333,0.20713944515243718,5,5
Isaiah_39,Isaiah,39,Isaiah_36_39,Isaiah_40_55,2,1.509045880924115,4,0.3484222557246486,6,6
Isaiah_39,Isaiah,39,Isaiah_36_39,1 Samuel,2,1.4213028847967388,3,0.2893485576016306,6,7
Isaiah_39,Isaiah,39,Isaiah_36_39,Isaiah_56_66,1,0.8703748456151472,5,0.12962515438485278,8,8
Isaiah_39,Isaiah,39,Isaiah_36_39,Hosea,1,0.7483723404592432,3,0.3362332437170835,8,9
Isaiah_4,Isaiah,4,Isaiah_1_35,Psalms,21,16.06932880092904,3.0476190476190474,0.30952755666200354,1,1
Isaiah_4,Isaiah,4,Isaiah_1_35,Isaiah_1_35,20,12.124284340856507,2.75,0.4014868460569267,2,2
Isaiah_4,Isaiah,4,Isaiah_1_35,Jeremiah,2,1.6131548926303843,2,0.2669320291735924,3,3
Isaiah_4,Isaiah,4,Isaiah_1_35,Amos,2,1.4460056879287477,4.5,0.3536253796715606,3,4
Isaiah_4,Isaiah,4,Isaiah_1_35,Ezekiel,2,1.3382960963268355,4.5,0.49443783338977465,3,5
Isaiah_4,Isaiah,4,Isaiah_1_35,Isaiah_36_39,1,0.707999655050928,2,0.292000344949072,6,6
Isaiah_4,Isaiah,4,Isaiah_1_35,Hosea,1,0.6801181790362235,5,0.3198818209637765,6,7
Isaiah_4,Isaiah,4,Isaiah_1_35,Proverbs,1,0.6710080904735337,2,0.4902949967328933,6,8
Isaiah_40,Isaiah,40,Isaiah_40_55,Jeremiah,13,9.37265220647149,3.3076923076923075,0.36575294991005997,1,2
Isaiah_40,Isaiah,40,Isaiah_40_55,Psalms,12,9.514132405260776,3.25,0.2403190930313705,2,1
Isaiah_40,Isaiah,40,Isaiah_40_55,Isaiah_40_55,10,7.080258429165843,2.7,0.3419423186704371,3,3
Isaiah_40,Isaiah,40,Isaiah_40_55,Isaiah_1_35,8,5.647558845317343,2.625,0.3120725466731739,4,4
Isaiah_40,Isaiah,40,Isaiah_40_55,Isaiah_36_39,3,2.539516992778355,2.6666666666666665,0.15349433574054838,5,5
Isaiah_40,Isaiah,40,Isaiah_40_55,Amos,2,1.7798118841939612,4,0.1100940579030194,6,6
Isaiah_40,Isaiah,40,Isaiah_40_55,Hosea,1,0.707516104538967,1,0.41339538928463254,7,7
Isaiah_40,Isaiah,40,Isaiah_40_55,Isaiah_56_66,1,0.27568410072960003,3,0.7243158992704,7,8
Isaiah_41,Isaiah,41,Isaiah_40_55,Isaiah_40_55,19,12.11875182642336,2.9473684210526314,0.41834171195216613,1,1
Isaiah_41,Isaiah,41,Isaiah_40_55,Psalms,9,7.48346416088678,2.7777777777777777,0.2058672823225032,2,2
Isaiah_41,Isaiah,41,Isaiah_40_55,Jeremiah,7,5.392921510350734,4,0.2573518731102478,3,3
Isaiah_41,Isaiah,41,Isaiah_40_55,Ezekiel,4,3.5804571971265444,3.25,0.12163592076979157,4,4
Isaiah_41,Isaiah,41,Isaiah_40_55,Isaiah_36_39,3,2.4702810356992364,2,0.17657298810025454,5,5
Isaiah_41,Isaiah,41,Isaiah_40_55,Hosea,3,2.215799731010765,2.3333333333333335,0.3539533700304383,5,6
Isaiah_41,Isaiah,41,Isaiah_40_55,Amos,2,1.6176836190877915,2.5,0.2665094063320551,7,7
Isaiah_41,Isaiah,41,Isaiah_40_55,Isaiah_1_35,1,0.8830192331851712,3,0.11698076681482883,8,8
Isaiah_41,Isaiah,41,Isaiah_40_55,1 Kings,1,0.711202871654912,2,0.40606856335250757,8,9
Isaiah_41,Isaiah,41,Isaiah_40_55,Isaiah_56_66,1,0.1934942980790263,5,0.8065057019209737,8,10
Isaiah_42,Isaiah,42,Isaiah_40_55,Isaiah_40_55,14,9.792092128202524,2.642857142857143,0.34078223677582775,1,1
Isaiah_42,Isaiah,42,Isaiah_40_55,Psalms,12,9.63181886799925,2.9166666666666665,0.25198047147389374,2,2
Isaiah_42,Isaiah,42,Isaiah_40_55,Jeremiah,10,7.516942706029059,3.9,0.3128898966016405,3,3
Isaiah_42,Isaiah,42,Isaiah_40_55,1 Samuel,3,2.414513206661339,4,0.19516226444622034,4,4
Isaiah_42,Isaiah,42,Isaiah_40_55,Isaiah_1_35,2,1.4263108213898235,3.5,0.28684458930508827,5,5
